chapter_id	core_sentence_zh	core_sentence_en	yixi_question_zh	yixi_question_en
1	故常无欲，以观其妙；常有欲，以观其徼。	Hence always without desire, one observes its mystery; always with desire, one observes its manifestations.	敢问无欲何以观妙，有欲何以观徼？	Dare I ask: how does observing without desire reveal mystery, and observing with desire reveal boundaries?
2	故有无相生，难易相成，长短相形，高下相倾，音声相和，前后相随。	Being and non-being create each other; difficult and easy complete each other; long and short shape each other; high and low lean on each other; sound and voice harmonise with each other; before and behind follow each other.	敢问有无何以相生？	Dare I ask: how do being and non-being give birth to each other?
3	是以圣人之治，虚其心，实其腹；弱其志，强其骨。	Therefore the sage governs by emptying the mind and filling the belly; weakening the will and strengthening the bones.	敢问虚心弱志何以成治？	Dare I ask: how does emptying the mind and weakening the will bring good order?
4	道冲而用之或不盈，渊兮似万物之宗；挫其锐，解其纷，和其光，同其尘，湛兮似或存。	The Dao is empty, yet when used it is never exhausted; deep, it seems the ancestor of the myriad things.	敢问道冲何以不盈？	Dare I ask: how can the Dao, being empty, never be exhausted?
5	天地不仁，以万物为刍狗；圣人不仁，以百姓为刍狗。	Heaven and Earth are not benevolent; they treat the myriad creatures as straw dogs.	敢问天地何以不仁？	Dare I ask: why are Heaven and Earth said to be un-benevolent?
6	谷神不死，是谓玄牝；玄牝之门，是谓天地根。	The valley spirit never dies; it is called the mysterious female.	敢问谷神何以不死？	Dare I ask: how does the valley spirit never die?
7	是以圣人后其身而身先，外其身而身存。	Therefore the sage places himself behind and yet is ahead; puts himself outside and yet is preserved.	敢问后身外身何以反得身先身存？	Dare I ask: how does putting oneself behind and outside end up placing one ahead and preserved?
8	夫唯不争，故无尤。	It is because he does not contend that he is without blame.	敢问不争何以独无尤？	Dare I ask: how does not contending alone leave one without blame?
9	持而盈之，不如其已；揣而锐之，不可长保。	To hold until full is not as good as stopping in time; to hammer until sharp cannot long be preserved.	敢问持盈揣锐何以不可长保？	Dare I ask: why can holding fullness and hammering sharpness not last long?
10	生之、畜之，生而不有，为而不恃，长而不宰，是谓玄德。	To give birth and to nourish, to give birth without possessing, to act without depending, to lead without dominating—this is called mysterious virtue.	敢问生而不有、为而不恃何谓玄德？	Dare I ask: how is giving birth without possessing and acting without depending called mysterious virtue?
11	故有之以为利，无之以为用。	Being is the benefit, non-being is the use.	敢问有之以为利，无之以为用？	Dare I ask: how does being serve as benefit and non-being as use?
12	是以圣人为腹不为目，故去彼取此。	Therefore the sage acts for the belly, not for the eyes; thus he rejects the one and chooses the other.	敢问圣人为何为腹不为目？	Dare I ask: why does the sage act for the belly and not for the eyes?
13	故贵以身为天下，若可寄天下；爱以身为天下，若可托天下。	Therefore one who values the body more than the world may be entrusted with the world; one who loves the body more than the world may be given custody of the world.	敢问贵身何以寄天下？	Dare I ask: how does valuing the body allow one to be entrusted with the world?
14	执古之道，以御今之有；能知古始，是谓道纪。	Holding to the ancient Dao to govern the present is called the thread of Dao.	敢问执古之道何以御今之有？	Dare I ask: how does holding the ancient Dao govern the present?
15	夫唯不可识，故强为之容。	Because it cannot be known, we are forced to describe it.	敢问道为何不可识？	Dare I ask: why can the Dao not be known?
16	致虚极，守静笃；万物并作，吾以观复。	Attain utmost emptiness, hold fast to stillness; the myriad things arise together, and I watch their return.	敢问致虚守静何以观复？	Dare I ask: how does emptiness and stillness allow one to watch the return?
17	太上，不知有之；其次，亲而誉之；其次，畏之；其次，侮之。	The highest ruler is unknown to his subjects; next comes one whom they love and praise; next, one whom they fear; next, one whom they despise.	敢问太上何以不知有之？	Dare I ask: how is the highest ruler unknown to his subjects?
18	此三者以为文不足，故令有所属：见素抱朴，少私寡欲。	These three are insufficient as culture, therefore let them belong to something: see the plain, embrace the uncarved, lessen selfishness, diminish desire.	敢问见素抱朴何以少私寡欲？	Dare I ask: how does seeing the plain and embracing the uncarved lessen selfishness and desire?
19	故令有所属：见素抱朴，少思寡欲，绝学无忧。	Therefore let them belong to: see the plain, embrace the uncarved, lessen thought, diminish desire, abandon learning and have no worries.	敢问绝学何以无忧？	Dare I ask: how does abandoning learning bring no worries?
20	唯之与阿，相去几何？	What is the difference between yes and no?	敢问唯与阿相去几何？	Dare I ask: what is the difference between yes and no?
21	孔德之容，惟道是从。	The appearance of great virtue follows the Dao alone.	敢问孔德何以惟道是从？	Dare I ask: how does great virtue follow the Dao alone?
22	是以圣人抱一为天下式：不自见故明，不自是故彰，不自伐故有功，不自矜故长。	Therefore the sage embraces the one as the model for the world: not self-displaying, hence bright; not self-asserting, hence distinguished; not self-boasting, hence meritorious; not self-exalting, hence enduring.	敢问圣人抱一何以天下式？	Dare I ask: how does the sage embracing the one become the model for the world?
23	故飘风不终朝，骤雨不终日。	Therefore the violent wind does not last the morning; the sudden rain does not last the day.	敢问飘风骤雨何以不终日？	Dare I ask: why does the violent wind and sudden rain not last the day?
24	其在道也，曰余食赘行，物或恶之，故有道者不处。	In terms of the Dao, it is called leftover food and redundant action, which things may detest; therefore the Daoist does not dwell in them.	敢问有道者何以不处余食赘行？	Dare I ask: why does the Daoist not dwell in leftover food and redundant action?
25	故道大，天大，地大，王亦大。	Therefore the Dao is great, heaven is great, earth is great, and the king is also great.	敢问道天地王何以皆大？	Dare I ask: how are the Dao, heaven, earth and the king all great?
26	是以君子终日行不离辎重；虽有荣观，燕处超然。	Therefore the gentleman travels all day without leaving his heavy wagons; though there are splendid sights, he remains transcendent and undisturbed.	敢问君子何以不离辎重？	Dare I ask: why does the gentleman never leave his heavy wagons?
27	是以圣人常善救人，故无弃人；常善救物，故无弃物，是谓袭明。	Therefore the sage is always good at saving people, hence no one is abandoned; always good at saving things, hence nothing is abandoned—this is called inherited brightness.	敢问圣人何以无弃人弃物？	Dare I ask: how does the sage have no abandoned people or things?
28	朴散则为器，圣人用之则为官长，故大制不割。	When the uncarved wood is scattered, it becomes vessels; the sage uses them and becomes the chief official—therefore the great system does not cut.	敢问大制何以不割？	Dare I ask: why does the great system not cut?
29	是以圣人无为故无败，无执故无失。	Therefore the sage acts without acting, hence fails not; holds without holding, hence loses not.	敢问圣人无为无执何以无败无失？	Dare I ask: how does the sage's non-acting and non-holding lead to no failure and no loss?
30	物壮则老，是谓不道，不道早已。	When things become strong, they grow old—this is called not following the Dao; not following the Dao ends early.	敢问物壮何以则老？	Dare I ask: why do strong things grow old?
31	杀人之众，以悲哀泣之；战胜，以丧礼处之。	When many are killed, one should weep with sorrow; when victorious, one should observe it with funeral rites.	敢问战胜何以丧礼处之？	Dare I ask: why should victory be treated with funeral rites?
32	道常无名，朴虽小，天下莫能臣也。	The Dao is eternally nameless; though the uncarved wood is small, no one in the world can make it serve.	敢问道朴何以莫能臣？	Dare I ask: how is the Dao's uncarved wood unable to be made to serve?
33	知人者智，自知者明。	To know others is wisdom; to know oneself is enlightenment.	敢问自知何以称明？	Dare I ask: how is knowing oneself called enlightenment?
34	以其终不自为大，故能成其大。	Because he never regards himself as great, he can achieve greatness.	敢问不自为大何以能成其大？	Dare I ask: how does not regarding oneself as great achieve greatness?
35	执大象，天下往。	Holding the great image, the world comes to him.	敢问执大象何以天下往？	Dare I ask: how does holding the great image bring the world to him?
36	将欲歙之，必固张之；将欲弱之，必固强之；将欲废之，必固兴之；将欲取之，必固与之。	If you wish to contract, you must first expand; if you wish to weaken, you must first strengthen; if you wish to abolish, you must first establish; if you wish to take, you must first give.	敢问欲取何以固与？	Dare I ask: how does wishing to take require first giving?
37	道常无为而无不为。	The Dao is eternally without action, yet nothing is left undone.	敢问道无为何以无不为？	Dare I ask: how does the Dao's non-action leave nothing undone?
38	故失道而后德，失德而后仁，失仁而后义，失义而后礼。	Therefore lose the Dao and then virtue follows; lose virtue and then benevolence follows; lose benevolence and then righteousness follows; lose righteousness and then ritual follows.	敢问失道何以后德？	Dare I ask: how does losing the Dao lead to virtue following?
39	故贵以贱为本，高以下为基。	Therefore the noble takes the humble as root; the high takes the low as foundation.	敢问贵高何以贱下为本基？	Dare I ask: how do nobility and height take humility and lowliness as root and foundation?
40	反者道之动；弱者道之用。	Reversal is the movement of the Dao; weakness is the function of the Dao.	敢问反弱何以道之动用？	Dare I ask: how are reversal and weakness the movement and function of the Dao?
41	故建言有之：明道若昧，进道若退，夷道若纇。	Therefore the established sayings have it: the bright Dao seems dim; the advancing Dao seems retreating; the level Dao seems uneven.	敢问明道何以若昧？	Dare I ask: how does the bright Dao seem dim?
42	故物或损之而益，或益之而损。	Therefore things may be diminished and yet increased, or increased and yet diminished.	敢问损益何以相反？	Dare I ask: how do diminishing and increasing reverse each other?
43	天下之至柔，驰骋天下之至坚；无有入无间，吾是以知无为之有益。	The softest in the world overcomes the hardest in the world; non-being enters where there is no space—thereby I know the benefit of non-action.	敢问至柔何以驰骋至坚？	Dare I ask: how does the softest overcome the hardest?
44	故知足不辱，知止不殆，可以长久。	Therefore knowing contentment avoids disgrace; knowing when to stop avoids danger—thus one can endure long.	敢问知足知止何以长久？	Dare I ask: how does knowing contentment and when to stop bring endurance?
45	大成若缺，其用不弊；大盈若冲，其用不穷；大直若屈，大巧若拙，大辩若讷；躁胜寒，静胜热，清静为天下正。	Great completion seems lacking, yet its use is not impaired; great fullness seems empty, yet its use is not exhausted; great straightness seems bent; great skill seems clumsy; great eloquence seems tongue-tied; movement overcomes cold, stillness overcomes heat—pure stillness is the ruler of the world.	敢问大成若缺何以用不弊？	Dare I ask: how does great completion seeming lacking leave its use unimpaired?
46	故知足之足，常足矣。	Therefore the contentment of knowing contentment is eternal contentment.	敢问知足之足何以常足？	Dare I ask: how is the contentment of knowing contentment eternally content?
47	是以圣人不行而知，不见而明，不为而成。	Therefore the sage knows without traveling, sees without looking, accomplishes without acting.	敢问圣人不行不见不为何以知明成？	Dare I ask: how does the sage know without traveling, see without looking, accomplish without acting?
48	为学日益，为道日损；损之又损，以至于无为；无为而无不为。	In learning one increases daily; in the Dao one decreases daily—decreasing and decreasing again until one reaches non-action; non-action, yet nothing is left undone.	敢问为道日损何以至于无为？	Dare I ask: how does decreasing daily in the Dao lead to non-action?
49	圣人无常心，以百姓心为心。	The sage has no fixed mind; he takes the mind of the people as his mind.	敢问圣人何以百姓心为心？	Dare I ask: how does the sage take the people's mind as his mind?
50	出生入死。	To go out is to live, to enter is to die.	敢问出生入死何以？	Dare I ask: how is going out living and entering dying?
51	是以万物莫不尊道而贵德。	Therefore the myriad things all honor the Dao and value virtue.	敢问万物何以尊道贵德？	Dare I ask: how do the myriad things honor the Dao and value virtue?
52	天下有始，以为天下母。	The world has a beginning which is the mother of the world.	敢问天下之始何以能为母？	Dare I ask: how can the beginning of the world be its mother?
53	使我介然有知，行于大道，唯施是畏。	If I have even a little knowledge, walking on the great way I fear only to deviate.	敢问行大道何以唯施是畏？	Dare I ask: how is walking on the great way feared only for deviation?
54	故以身观身，以家观家，以乡观乡，以邦观邦，以天下观天下。	Therefore observe the body by the body, the family by the family, the village by the village, the state by the state, the world by the world.	敢问何以能以自身观天下？	Dare I ask: how can one observe the world by observing oneself?
55	含德之厚，比于赤子。	One who embraces virtue in fullness may be compared to a newborn infant.	敢问含德之厚何以比于赤子？	Dare I ask: how does embracing virtue in fullness compare to a newborn infant?
56	故不可得而亲，不可得而疏；不可得而利，不可得而害；不可得而贵，不可得而贱。	Therefore he cannot be obtained and made intimate, cannot be obtained and made distant; cannot be obtained and benefited, cannot be obtained and harmed; cannot be obtained and honoured, cannot be obtained and debased.	敢问不可得何以无亲疏利害贵贱？	Dare I ask: how does being unobtainable leave one without intimacy or distance, benefit or harm, honour or debasement?
57	故圣人云：我无为而民自化，我好静而民自正，我无事而民自富，我无欲而民自朴。	Therefore the sage says: I act without action and the people transform themselves; I love stillness and the people correct themselves; I engage in no affairs and the people enrich themselves; I have no desires and the people simplify themselves.	敢问圣人无为好静何以民自化正？	Dare I ask: how does the sage's non-action and stillness let the people transform and correct themselves?
58	其政闷闷，其民淳淳；其政察察，其民缺缺。	When governance is dull, the people are honest; when governance is sharp, the people are lacking.	敢问政闷闷何以民淳淳？	Dare I ask: how does dull governance make the people honest?
59	夫唯啬，是谓早服；早服谓之重积德；重积德则无不克；无不克则莫知其极；莫知其极，可以有国；有国之母，可以长久。	Only frugality is called early submission; early submission is called heavy accumulation of virtue; heavy accumulation of virtue overcomes all; overcoming all none knows its limit; none knowing its limit one can possess the state; possessing the mother of the state one can endure long.	敢问重积德何以莫知其极？	Dare I ask: how does heavy accumulation of virtue reach a limit none can know?
60	夫两不相伤，故德交归焉。	When two sides do not harm each other, virtue returns and dwells together.	敢问两不相伤何以德交归？	Dare I ask: how does neither side harming the other make virtue return and dwell together?
61	故大国以下小国，则取小国；小国以下大国，则取大国。	Therefore the great state by lowering itself towards the small state takes the small state; the small state by lowering itself towards the great state takes the great state.	敢问大国以下小国何以取小国？	Dare I ask: how does the great state lowering itself towards the small state take the small state?
62	故立天子，置三公，虽有拱璧以先驷马，不如坐进此道。	Therefore install the Son of Heaven and set up the Three Dukes; though you have jade disks presented before teams of four horses, it is not as good as sitting and advancing this Dao.	敢问拱璧驷马何以不如坐进此道？	Dare I ask: how are jade disks and teams of horses not as good as sitting and advancing this Dao?
63	是以圣人终不为大，故能成其大。	Therefore the sage never strives to be great, and thus can achieve greatness.	敢问圣人终不为大何以能成其大？	Dare I ask: how does the sage never striving to be great achieve greatness?
64	是以圣人无为故无败，无执故无失。	Therefore the sage acts without acting and thus fails not; holds without holding and thus loses not.	敢问圣人无为无执何以无败无失？	Dare I ask: how does the sage's non-acting and non-holding lead to no failure and no loss?
65	故以智治国，国之贼；不以智治国，国之福。	Therefore using knowledge to govern the state is the state's thief; not using knowledge to govern the state is the state's blessing.	敢问以智治国何以反为贼？	Dare I ask: how is using knowledge to govern the state反而 the state's thief?
66	是以圣人欲上民，必以言下之；欲先民，必以身后之。	Therefore the sage who wishes to be above the people must speak as if below them; who wishes to be ahead of the people must place himself behind them.	敢问圣人言下身后何以能上民先民？	Dare I ask: how does the sage speaking below and placing himself behind end up above and ahead of the people?
67	夫唯大，故似不肖。	It is precisely because it is great that it seems unlike anything.	敢问大何以似不肖？	Dare I ask: how is it that being great seems unlike anything?
68	是谓不争之德，是谓用人之力，是谓配天古之极。	This is called the virtue of not contending, this is called the power of using people, this is called matching heaven, the ultimate of old.	敢问不争之德何以配天古之极？	Dare I ask: how does the virtue of not contending match heaven, the ultimate of old?
69	故抗兵相加，哀者胜矣。	Therefore when opposing armies add to each other, the one who is sorrowful will win.	敢问抗兵相加何以哀者胜？	Dare I ask: how is it that the sorrowful one wins when opposing armies add to each other?
70	夫唯无知，是以不我知。	It is precisely because of not knowing that one does not know me.	敢问无知何以不我知？	Dare I ask: how does not knowing lead to not knowing me?
71	夫唯病病，是以不病。	It is precisely by taking disease as disease that one is not diseased.	敢问病病何以不病？	Dare I ask: how does taking disease as disease lead to not being diseased?
72	夫唯不厌，是以不厌。	It is precisely by not being wearisome that one is not wearied.	敢问不厌何以不被厌？	Dare I ask: how does not being wearisome lead to not being wearied?
73	是以圣人犹难之。	Therefore the sage still treats things as difficult.	敢问圣人何以犹难之？	Dare I ask: why does the sage still treat things as difficult?
74	民常不畏死，奈何以死惧之？	The people normally do not fear death—why then use death to frighten them?	敢问民不畏死何以死惧之？	Dare I ask: why use death to frighten people who do not fear death?
75	夫唯无以生为者，是贤于贵生。	It is precisely by not making life one's own business that one excels those who value life.	敢问无以生为者何以贤于贵生？	Dare I ask: how does not making life one's own business excel those who value life?
76	故坚强者死之徒，柔弱者生之徒。	Therefore the hard and strong are companions of death, the soft and weak are companions of life.	敢问坚强何以死之徒？	Dare I ask: how are the hard and strong companions of death?
77	是以圣人为而不恃，功成而不处，其不欲见贤。	Therefore the sage acts without relying on his action, achieves without dwelling on the achievement—he does not wish to display his worth.	敢问圣人不恃不处何以不见贤？	Dare I ask: how does the sage's not relying and not dwelling keep him from displaying worth?
78	是以圣人云：受国之垢，是谓社稷主；受国不祥，是为天下王。	Therefore the sage says: one who accepts the nation's filth is called the lord of the altars of soil and grain; one who accepts the nation's misfortune is the king of the world.	敢问受国垢不祥何以能为社稷主天下王？	Dare I ask: how does accepting the nation's filth and misfortune make one the lord of the altars and the king of the world?
79	是以圣人执左契而不责于人。	Therefore the sage holds the left tally and does not press charges against others.	敢问圣人执左契何以不责于人？	Dare I ask: how does the sage holding the left tally not press charges against others?
80	小国寡民。	A small state with few people.	敢问小国寡民何以治？	Dare I ask: how is a small state with few people governed?
81	天之道，利而不害；圣人之道，为而不争。	The way of heaven benefits and does not harm; the way of the sage acts and does not contend.	敢问天之道利而不害，圣人之道为而不争？	Dare I ask: how does the way of heaven benefit without harming, and the way of the sage act without contending?